Username,Comment,Cleaning
@susantosanto5826,"Yg terpenting justru rakyat jelata  , bukan politisi , bukan mahasiswa , bukan elit  kalau nggak ada rakyat jelata yg buanyak itu buat apa politisi ,mahasiswa,elit politik. Mau jalan sendiri?",yg terpenting justru rakyat jelata bukan politisi bukan mahasiswa bukan elit kalau nggak ada rakyat jelata yg buanyak itu buat apa politisi mahasiswaelit politik mau jalan sendiri
@suarnomar9494,Itu udah biasa yang kalah pasti cemas yang menang pasti bahagia lah.gitu ko heran sij,itu udah biasa yang kalah pasti cemas yang menang pasti bahagia lah gitu ko heran sij
@user-pc5gj2jk7j,Alhamdulillah selamat pak saya selalu mendukung mu pak 🎉🎉🎉,alhamdulillah selamat pak saya selalu mendukung mu pak
@mimirano3948,"Suda lumra dan Suda biyasa setiyap ada pemiluan ,pasti yg kalah selalu bilang ya Ada ke curangan ,bukan Kali ini Saja ,dulu ke pah Jokowi juga gitu bilang ya curang Ini itu",suda lumra dan suda biyasa setiyap ada pemiluan pasti yg kalah selalu bilang ya ada ke curangan bukan kali ini saja dulu ke pah jokowi juga gitu bilang ya curang ini itu
@warnitawarita-tx6bz,Ngomong opo kue wis kalah ngakune menang bercermin dong ANGEL TUTURANE,ngomong opo kue wis kalah ngakune menang bercermin dong angel tuturane
@safingi1185,tidak ada kecurangan semuwa disak sikan ada aparat pulisi smuwaya lengkap,tidak ada kecurangan semuwa disak sikan ada aparat pulisi smuwaya lengkap
@markusmkw6903,Titip pesan Kepada Prabowo kalau sudah menang jangan membunuh Rakyat Wets Papua jangan pakai sistem ORDE Lama atau sistem Sueharto ya ? Pa,titip pesan kepada prabowo kalau sudah menang jangan membunuh rakyat wets papua jangan pakai sistem orde lama atau sistem sueharto ya pa
@user-xq7zq2jy8g,PPRREETT ..PREEEPPEEETT.......PPRREEEETT....PPRREEEPPEEEETTT.      MUNAAFFIIIKKK.  LLIIICCIIIKK.   MMEENNJIIIJIIIKKAANN,pprreett preeeppeeett pprreeeett pprreeeppeeeettt munaaffiiikkk lliiicciiikk mmeennjiiijiiikkaann
@RedmiXyz-id9lq,#,
@user-hv3rw5zo8w,klau saya bisa nasihati curang atau tidak derajat para partai sama semua sebatas menghalalkan segala cara ngoceh sana sini.udh cape rakyatbsebatas d ajak2...,klau saya bisa nasihati curang atau tidak derajat para partai sama semua sebatas menghalalkan segala cara ngoceh sana sini udh cape rakyatbsebatas d ajak2
@kembarselian4382,Masalah kalah &amp; menang tdk Ada masalah yg Jelas perjalanan demokrasi berjalan dgn baik adil &amp; jujur.,masalah kalah menang tdk ada masalah yg jelas perjalanan demokrasi berjalan dgn baik adil jujur
@user-hv3rw5zo8w,"cuma orng2 haus kekuasaan yg tidak menerima kekalahan,uang abis banyak....jaman udah tau setidaknya jika meremehkan kepercayaan rakyat kalian tanggung akibatnya allah akan memberi cara untuk orng yg d dzolimi ngakuanya ngebela rakyat malah ngumpulin uang rakyat...",cuma orng2 haus kekuasaan yg tidak menerima kekalahanuang abis banyak jaman udah tau setidaknya jika meremehkan kepercayaan rakyat kalian tanggung akibatnya allah akan memberi cara untuk orng yg d dzolimi ngakuanya ngebela rakyat malah ngumpulin uang rakyat
@user-hv3rw5zo8w,maaf bang orng politikus sebatas haus kekuasan jika kalian ingin usaha yg jelas tinggal merapatkan barisan jangan buat kegaduhan udah jelas surat suara pasti d kawal ketat setidaknya kita saling memaapkan.entar ketinggalan udah tau uang kalian abis banyak.,maaf bang orng politikus sebatas haus kekuasan jika kalian ingin usaha yg jelas tinggal merapatkan barisan jangan buat kegaduhan udah jelas surat suara pasti d kawal ketat setidaknya kita saling memaapkan entar ketinggalan udah tau uang kalian abis banyak
@jjjjj972,Bosses uang saya rp 500 bisa di rubah menjadi rp 5000000 tuta ga.  <br>Kpu kan jago merubah angka 👍👍👍👍👍👍👍,bosses uang saya rp bisa di rubah menjadi rp tuta ga kpu kan jago merubah angka
@akungoogle9125,Siapapun yg memimpin klo cuma sndrian tak kan mmpu.,siapapun yg memimpin klo cuma sndrian tak kan mmpu
@jjjjj972,Curang,curang
@jjjjj972,Hoax,hoax
@jjjjj972,Curang,curang
@jjjjj972,Hoax,hoax
@ReniNatalia-to5sr,Curang,curang
@puryantopuryanto4273,Artinya kubu 01 apapun keputusan KPU tetap bikin Gaduh......sampai 01 menang?? Inilah Perubahan isi kepala dirubah ke Dengkul,artinya kubu apapun keputusan kpu tetap bikin gaduh sampai menang inilah perubahan isi kepala dirubah ke dengkul
@praptowiyono2556,Masalah bansos dicurah bagi rakyat itu hak negara buat rakyat jokowi itu sayang rakyat,masalah bansos dicurah bagi rakyat itu hak negara buat rakyat jokowi itu sayang rakyat
@praptowiyono2556,Pemilu daripak harto sampe sekarang gak ada jordelnya itu cuman sifat orang kalah RAKYATMU sudah pintar semua mileh dari hati maseng maseng,pemilu daripak harto sampe sekarang gak ada jordelnya itu cuman sifat orang kalah rakyatmu sudah pintar semua mileh dari hati maseng maseng
@praptowiyono2556,Rakyat solo sayang pada gibran jadi walikota di solo bangunan sangat berubah solo taon yang lalu sama sekarang jaoh banget boktinya,rakyat solo sayang pada gibran jadi walikota di solo bangunan sangat berubah solo taon yang lalu sama sekarang jaoh banget boktinya
@arifjenggot1244,"Klk kalah2 aja MASZE, RAKYAT sudah terlampau kecewa dengan PDI P dari segala hal yg notabene rakyat kecil yg semakin tergencet oleh kebijakan dan kebusukan anggota PDI P yg ada d dalam Parlemen pemerintahan. Sekarang saat nya membalas kubu PDI P dengan kemenangan PORORO.",klk kalah2 aja masze rakyat sudah terlampau kecewa dengan pdi p dari segala hal yg notabene rakyat kecil yg semakin tergencet oleh kebijakan dan kebusukan anggota pdi p yg ada d dalam parlemen pemerintahan sekarang saat nya membalas kubu pdi p dengan kemenangan pororo
@praptowiyono2556,Kalo paslon capres dancawapres gak percaya  capres cawapres satu dan tiga kelihatan gapercaya RAKYAT petugas TPS dansaksi capek sekali mengaman kan suwara TPS,kalo paslon capres dancawapres gak percaya capres cawapres satu dan tiga kelihatan gapercaya rakyat petugas tps dansaksi capek sekali mengaman kan suwara tps
@jarwanto3322,"Klo kalah ya kalah aja, gak usah bilang curang curang,",klo kalah ya kalah aja gak usah bilang curang curang
@praptowiyono2556,Pemilu dari pak harto netizen baca semua mengandong cacat 50/ persen pilihan RAKYAT jangan bilang curang,pemilu dari pak harto netizen baca semua mengandong cacat persen pilihan rakyat jangan bilang curang
@praptowiyono2556,AYO bersat bangon negara jangan emosi bilang curang dan curang siapa yang menang itu untok negara,ayo bersat bangon negara jangan emosi bilang curang dan curang siapa yang menang itu untok negara
@praptowiyono2556,Rakyamu yang tugas dikota dankampong yang dibawah sman saja para elit politik masih menghujat paslon  laen ayo sadar menang kalah itu biasa ayo bangon NEGARAMU,rakyamu yang tugas dikota dankampong yang dibawah sman saja para elit politik masih menghujat paslon laen ayo sadar menang kalah itu biasa ayo bangon negaramu
@praptowiyono2556,Haros terima kasih rakyat yang jadi saksi masarakatmu capek loyang tugas di TPS,haros terima kasih rakyat yang jadi saksi masarakatmu capek loyang tugas di tps
@praptowiyono2556,Akar rumpotnya beberapa bulan ini orang dariPDI banyak yang menghina jokowi dan gibran masarakat pindah haluan ke paslon O 2 jokowi sudah baek lo,akar rumpotnya beberapa bulan ini orang daripdi banyak yang menghina jokowi dan gibran masarakat pindah haluan ke paslon o jokowi sudah baek lo
@hananchannel2307,3 x memilih pak Prabowo...2 x kalah..yg ke 3 nya jelas memang Pak Prabowo untuk Indonesia. No paslon 02 Menang Satu Putaran❤❤,x memilih pak prabowo x kalah yg ke nya jelas memang pak prabowo untuk indonesia no paslon menang satu putaran
@risalmartin3885,"iya kenapa jadi banyak fitnah atas kemenangan sementara Capres no. 2 , bahwa KPU banyak melakukan kecurangan kasian jajaran penyelenggara sudah banyak yg berkorbanan bahkan sampai ada yang meninggal Dunia semoga kalian disejajarkan dengan pengorbanan nya para Pahlawan Amin yaa Robbal Alaamiin",iya kenapa jadi banyak fitnah atas kemenangan sementara capres no bahwa kpu banyak melakukan kecurangan kasian jajaran penyelenggara sudah banyak yg berkorbanan bahkan sampai ada yang meninggal dunia semoga kalian disejajarkan dengan pengorbanan nya para pahlawan amin yaa robbal alaamiin
@floalfredo9980,"Ketika Pak Jokowi jadi Presiden, kadrun pada berani caci maki dan hina2 Presiden tp Pak Jokowi hanya legowo terima semuanya karena mungkin latar belakangnya adalah orang sipil. Tetapi kali ini Kadrun jangan main2 dengan Prabowo, berani caci maki dan hina simbol negara kalian akan berhadapan dengan Presiden yg latar belakangnya adalah seorang Militer yg sdh tentu jiwa Nasionalismenya teguh utk mempertahankan keutuhan NKRI.<br>Oleh karena itulah saya memilih Probowo sebagai Presiden NKRI periode 5 Tahun ke depan.",ketika pak jokowi jadi presiden kadrun pada berani caci maki dan hina2 presiden tp pak jokowi hanya legowo terima semuanya karena mungkin latar belakangnya adalah orang sipil tetapi kali ini kadrun jangan main2 dengan prabowo berani caci maki dan hina simbol negara kalian akan berhadapan dengan presiden yg latar belakangnya adalah seorang militer yg sdh tentu jiwa nasionalismenya teguh utk mempertahankan keutuhan nkri oleh karena itulah saya memilih probowo sebagai presiden nkri periode tahun ke depan
@user-my7ug6yh3p,Paslon 02 menang karena curang.banyak bukti2 kecurangannya.mebanh Krn curang itu di nyatakan tidak sak berarti gugur otomatis Paslon 01 yg menang secara sah,paslon menang karena curang banyak bukti2 kecurangannya mebanh krn curang itu di nyatakan tidak sak berarti gugur otomatis paslon yg menang secara sah
@mhdiqbal471,Hormati masyarakat Indonesia memilih.sebab negara demokrasi memberikan kesempatan kepada seluruh masyarakat memilih.ada yang memilih partai namun memilih presiden yang tidak di dukung oleh partainya.jadi kita harus menerima kenyataan bahwa rakyat Indonesia cermat memilih presiden yang berkelanjutan .dari pada perubahan yang di janjikan,hormati masyarakat indonesia memilih sebab negara demokrasi memberikan kesempatan kepada seluruh masyarakat memilih ada yang memilih partai namun memilih presiden yang tidak di dukung oleh partainya jadi kita harus menerima kenyataan bahwa rakyat indonesia cermat memilih presiden yang berkelanjutan dari pada perubahan yang di janjikan
@user-cr6dt6ks1n,Jangan sebut banson mulu dong dan yang gratis itu kami tidak pernah merasakan  tolong kedepan nya untuk presiden terpilih bapak prabowo turun kan harga barang supaya yg seperti kami kaya tidak  miskin juga tidak dan setiap hari kami mencari uang  hanya mencicil  hutang,jangan sebut banson mulu dong dan yang gratis itu kami tidak pernah merasakan tolong kedepan nya untuk presiden terpilih bapak prabowo turun kan harga barang supaya yg seperti kami kaya tidak miskin juga tidak dan setiap hari kami mencari uang hanya mencicil hutang
@mukinmukin5285,"Selamat pak Prabowo, Beliau berhasil mencontoh Jokowi dr sikapnya yg selalu dihina, orang2 sombong dan merasa benar ternyata kalah, itulah Tanda Kebesaran Alloh",selamat pak prabowo beliau berhasil mencontoh jokowi dr sikapnya yg selalu dihina orang2 sombong dan merasa benar ternyata kalah itulah tanda kebesaran alloh
@agussukma8287,Menang karena curang,menang karena curang
@MBaja-qd2ip,Rakyat gak setujuu ituu😊,rakyat gak setujuu ituu
@AyuwandiraAyu-fm1eh,02 pembohong curang kemenanganya,pembohong curang kemenanganya
@mesafatin1159,apa jadinya negara ini jika di tangan orang orang  pandai berburuk sangka begini...,apa jadinya negara ini jika di tangan orang orang pandai berburuk sangka begini
@ibuku90,PDIP kalah sm.anis,pdip kalah sm anis
@jhoniturangan7183,"mantap,,",mantap
@istianahspd1852,Alhamdulilah pak Prabowo ❤❤❤,alhamdulilah pak prabowo
@tesaraldani2954,Bukan masalah Ganjar jgn keliru ya tetapi pidatox Guntur pdwaktu Kampanyekan Ganjar bicarax ngeri sklitu masalahx BPK dan ibu,bukan masalah ganjar jgn keliru ya tetapi pidatox guntur pdwaktu kampanyekan ganjar bicarax ngeri sklitu masalahx bpk dan ibu
@ArifinCeluler100,Rayat RI ungulkan PDIP  bukan karena mmilh ibu mega karena menghormati pak sukano . Dn krn prabowo ugul krna jokowi msh d possi PDIP.,rayat ri ungulkan pdip bukan karena mmilh ibu mega karena menghormati pak sukano dn krn prabowo ugul krna jokowi msh d possi pdip
@ArifinCeluler100,Mf brow . Keblik brow bila blajar dri pak prabowo . Pak prabowo blajar dri kekalahan 2 x dri pak jokowi 2 preode .,mf brow keblik brow bila blajar dri pak prabowo pak prabowo blajar dri kekalahan x dri pak jokowi preode
@HerLena-nd1pu,"Kita satu nusa satu bangsa satu bahasa ,trima sja siapa yg jdi presiden ,klaw org itu terpilih berarti dia yg terbaik",kita satu nusa satu bangsa satu bahasa trima sja siapa yg jdi presiden klaw org itu terpilih berarti dia yg terbaik
@bahartayang2207,"Yes Alhamdulillah DEMOKRASI LEGOWO,, PRAGIB,, PRABOWO GIBRAN,, SUKSES JADI RI 1,,✍️ ⭐ 🙏",yes alhamdulillah demokrasi legowo pragib prabowo gibran sukses jadi ri
@user-gw4ll8xl7i,Bagaimana hasil perhitungan yang curang tidak sesuai fakta di lapangan,bagaimana hasil perhitungan yang curang tidak sesuai fakta di lapangan
@user-yw4ht7in9e,😊😊😊😊,
@user-jy4ul3ys3j,1000 tim lembaga survei kl tidak jujur itu tidak berguna .,tim lembaga survei kl tidak jujur itu tidak berguna
@daviqrizal6455,Saya orang tuwa kota kudus alamatku islamagamaku. Aku pilih p prabowo karna dialah yg pantas jadi bpku tak membalas nenghujat walau dihujat dlm debat tak membalas merendakan walau di rendahkan itulah jiwa seorang bp bapake wong sak indonesia paslon  01 dan 03 dlm debat terkesan keminter sok bener merasa orang yg paling no siji ning sok suci mulo milih prabowo yo .....,saya orang tuwa kota kudus alamatku islamagamaku aku pilih p prabowo karna dialah yg pantas jadi bpku tak membalas nenghujat walau dihujat dlm debat tak membalas merendakan walau di rendahkan itulah jiwa seorang bp bapake wong sak indonesia paslon dan dlm debat terkesan keminter sok bener merasa orang yg paling no siji ning sok suci mulo milih prabowo yo
@user-hj4ok7sz7m,"Hidup Prabowo,tim sukses saya",hidup prabowotim sukses saya
@HallemahAmil,Emangnya 01 dan 03 itu jelas hanya rakyat yg menilai kalian,emangnya dan itu jelas hanya rakyat yg menilai kalian
@AMIRUlaga-xx7mc,Untuk DPR RI Ibu Anita Ga dapat berapa suara ya?,untuk dpr ri ibu anita ga dapat berapa suara ya
@paulusdiaz4212,O,o
@KaafHaaYaaAinShaad,"Nyanyian senja, jadi dengarkan saja tidak akan merubah apapun, ketika Prabowo-Gibran dilantik 80% partai di parlemen akan bergabung di pemerintahan. 20% oposisi",nyanyian senja jadi dengarkan saja tidak akan merubah apapun ketika prabowogibran dilantik partai di parlemen akan bergabung di pemerintahan oposisi
@muhammadfaisalemir3172,ABANG 6 LEMBAGA GAK DIPERIKSA😂🇮🇩,abang lembaga gak diperiksa
@Pon-hz7we,Belum jelas,belum jelas
@RadiainiYani-do5qg,Pilihan ku tetap  si gemoy,pilihan ku tetap si gemoy
@PAKDen-xx5dy,ayok masarakat indonesi kita jaga  nkri ini jangan hanya menang atau kala itu kita perlu yg namanya ekonomi yg merata,ayok masarakat indonesi kita jaga nkri ini jangan hanya menang atau kala itu kita perlu yg namanya ekonomi yg merata
@PAKDen-xx5dy,udala yg kala menerima jangan membuat ekonomi dn angaran indonesia makin hancur trimakasi,udala yg kala menerima jangan membuat ekonomi dn angaran indonesia makin hancur trimakasi
@siswantosiswanto5997,"Info hasil recap pemilu 2024 , dewan DPR RI ibu Dr Hj NulyvJuariah ,",info hasil recap pemilu dewan dpr ri ibu dr hj nulyvjuariah
@user-ls6ui9vh8w,"Janganlah sering mengatakan kecurangan kalau kalah coba kalau menang tidak ada kecurangan seperti th 2014 $an th 2019 kalau jaya kedepan. <a href=""https://www.youtube.com/watch?v=Ua21uPr1eRc&amp;t=1067"">17:47</a>",janganlah sering mengatakan kecurangan kalau kalah coba kalau menang tidak ada kecurangan seperti th an th kalau jaya kedepan
@yantosalim,"Data 1 putaran sistem quick count harus 20% lebih, , 50% lebih, 10% lebih jika 30, 50, 20 maka potensi 2 putaran sangat besar jadi sistem sudah disetting,???",data putaran sistem quick count harus lebih lebih lebih jika maka potensi putaran sangat besar jadi sistem sudah disetting
@Aisyahsabillah.c,Coba ikuti saran pak Jokowi Prabowo/Ganjar malah kepedean ingin JD no 1 presiden pak GAJAR..pak Ganjar kecurangan di LN meraja Lela tp ttp Sj Allah tidak mengizinkan sampean JD presiden karena belum apa-apa SDH curang,coba ikuti saran pak jokowi prabowoganjar malah kepedean ingin jd no presiden pak gajar pak ganjar kecurangan di ln meraja lela tp ttp sj allah tidak mengizinkan sampean jd presiden karena belum apaapa sdh curang
@AbdSyafi-vt9yq,selamat pak prabowo saya bangga pak di forum2 negara besar bapak mempunyai karakter sangat kuat dengan ketulusan hati jiwa besar itulah yg membuat saya bangga salam,selamat pak prabowo saya bangga pak di forum2 negara besar bapak mempunyai karakter sangat kuat dengan ketulusan hati jiwa besar itulah yg membuat saya bangga salam
@FaeTilgner,Breaking news: Indonesians unite for the love of rendang and peace during election season! 🇮🇩🥳,breaking news indonesians unite for the love of rendang and peace during election season
@nasirdepari9628,di Jakarta ketauan suara O2 di + hin😂🤥 👏👏👏,di jakarta ketauan suara o2 di hin
@lilikwinarni9861,"HARUSYA YG BENER KLO KLAH IT WAJAR DAN SEKARANG SAMA2 MEMBANGUN  INDONESIA , TERCOBLOS BSA AJA JELEKN PRABOWO ,,GK MUGKIN GIBRAN AMA PK PRABOWO JUJUR GK TW NEK 03 AM 01 GK JUJUR BSA KRN KLAH KN",harusya yg bener klo klah it wajar dan sekarang sama2 membangun indonesia tercoblos bsa aja jelekn prabowo gk mugkin gibran ama pk prabowo jujur gk tw nek am gk jujur bsa krn klah kn
@suhairealme2382,"Prabowo , ok",prabowo ok
@Punagara,itu namanya buang buang uang negara itu tidak baik,itu namanya buang buang uang negara itu tidak baik
@SuprabtoPrabto,Merdeka PK PRABOWO,merdeka pk prabowo
@Punagara,maaf ya  itu yang udah kalah jangan ngeyel    ngga tau,maaf ya itu yang udah kalah jangan ngeyel ngga tau
@YuliaElysabeth-vr2ow,Kita harus menerima dan bersyukur kepada Tuhan yang Maha Adil dan Pengasih yang mana suara rakyat memilih presiden Nya adalah mewakili suara Tuhan kita.,kita harus menerima dan bersyukur kepada tuhan yang maha adil dan pengasih yang mana suara rakyat memilih presiden nya adalah mewakili suara tuhan kita
@edysusanto4916,"Kiranya sdh tepat sekali Prabowo Gibran pemwnangnya,smg sukses.",kiranya sdh tepat sekali prabowo gibran pemwnangnyasmg sukses
@amanjaya7364,"Kalau, adakecuragan,  rakyat,membatalkan  siapun persidenya,    raktyat  gxterima,    , karna  rakyat,dikorbankan",kalau adakecuragan rakyatmembatalkan siapun persidenya raktyat gxterima karna rakyatdikorbankan
@dedeapriliandi6608,Ini bukan hitungam cepat. Tapi kecepatan berhitung wkwkwkwk. <br>Kayak panik gitu.😛,ini bukan hitungam cepat tapi kecepatan berhitung wkwkwkwk kayak panik gitu
@syahrul322,"Sy sbg masyarakat NTB dompu heran ko ada kecurangan di setiap daerah  provinsi di pemilu 2024..sementara di TPS itu  ada petugas kpps, saksi, polisi ataupun masyarakat yg sllu memantau  berjalannya pemilu baik pilpres maupun pillek..dan klwupun ada temuaan2 kecurangan yg pasti di TPS itu  ada saksi2 01  02 taupun 03 artinya kalopun ada kecurangan yg pasti saksi2 baik 01 02 ataupun 03 di TPS tersebut yg pasti melakukan protes ataupun keberatan di TPS  tersebut.. artinya     pemilihan pilpres maupun pilek nga akan berjalan apa bila ada kecurangan..dan kami sbg masyarakat NTB benar 100%hati nurani kalah menang tetap memilih paslon nmor 2",sy sbg masyarakat ntb dompu heran ko ada kecurangan di setiap daerah provinsi di pemilu sementara di tps itu ada petugas kpps saksi polisi ataupun masyarakat yg sllu memantau berjalannya pemilu baik pilpres maupun pillek dan klwupun ada temuaan2 kecurangan yg pasti di tps itu ada saksi2 taupun artinya kalopun ada kecurangan yg pasti saksi2 baik ataupun di tps tersebut yg pasti melakukan protes ataupun keberatan di tps tersebut artinya pemilihan pilpres maupun pilek nga akan berjalan apa bila ada kecurangan dan kami sbg masyarakat ntb benar hati nurani kalah menang tetap memilih paslon nmor
